category,roll_number,cgpa
overall,22031A0527,9.0
overall,23035A0233,8.87
overall,22031A0506,8.67
overall,22031A0536,8.63
overall,22031A0547,8.61
overall,22031A0517,8.58
overall,22031A0548,8.54
overall,23035A0325,8.52
overall,23035A0103,8.5
overall,22031A0408,8.45
ce,23035A0103,8.5
ce,23035A0111,8.38
ce,23035A0119,8.31
ce,23035A0124,7.81
ce,23035A0105,7.75
ce,23035A0102,7.63
ce,23035A0122,7.54
ce,23035A0121,7.53
ce,23035A0101,7.53
ce,23035A0110,7.45
eee,23035A0233,8.87
eee,22031A0218,8.33
eee,23035A0223,8.29
eee,23035A0215,8.21
eee,23035A0231,8.1
eee,23035A0202,8.05
eee,23035A0225,8.04
eee,23035A0232,8.01
eee,23035A0211,7.82
eee,23035A0229,7.77
mec,23035A0325,8.52
mec,23035A0327,8.39
mec,23035A0346,8.35
mec,23035A0334,8.23
mec,23035A0306,8.13
mec,23035A0322,8.1
mec,23035A0331,8.09
mec,23035A0328,8.08
mec,23035A0308,8.04
mec,23035A0340,8.02
ece,22031A0408,8.45
ece,22031A0410,8.44
ece,22031A0406,8.27
ece,23035A0405,7.92
ece,22031A0457,7.88
ece,22031A0453,7.82
ece,22031A0446,7.77
ece,22031A0420,7.71
ece,23035A0401,7.62
ece,22031A0455,7.58
cse,22031A0527,9.0
cse,22031A0506,8.67
cse,22031A0536,8.63
cse,22031A0547,8.61
cse,22031A0517,8.58
cse,22031A0548,8.54
cse,22031A0535,8.36
cse,22031A0546,8.33
cse,22031A0552,8.28
cse,22031A0510,8.26
